id,competency,avg_score,user_id,user_name,user_score,assessment,date_taken
11,Working with Files,2.230769230769231,1,Mark Hill,3,Importing CSV File Assignment,2023/12/08 14:14:20
11,Working with Files,2.230769230769231,2,Krystal Hill,5,Importing CSV File Assignment,2023/12/08 14:14:43
11,Working with Files,2.230769230769231,3,Daxter Hill,1,Importing CSV File Assignment,2023/12/08 14:16:51
11,Working with Files,2.230769230769231,4,Rune Hill,3,Importing CSV File Assignment,2023/12/08 14:14:49
11,Working with Files,2.230769230769231,5,Inactiboy The Third,1,Importing CSV File Assignment,2023/12/08 14:15:36
11,Working with Files,2.230769230769231,6,Inactigirl The Fifth,4,Importing CSV File Assignment,2023/12/08 14:16:59
11,Working with Files,2.230769230769231,7,Test Case,0,,
11,Working with Files,2.230769230769231,8,Frodo Baggins,2,Importing CSV File Assignment,2023/12/08 14:14:42
11,Working with Files,2.230769230769231,9,Atrus Miller,2,Importing CSV File Assignment,2023/12/08 14:16:52
11,Working with Files,2.230769230769231,10,Alphonse Tartare,4,Importing CSV File Assignment,2023/12/08 14:14:53
11,Working with Files,2.230769230769231,11,Hazel Sandleford,5,Importing CSV File Assignment,2023/12/08 14:16:45
11,Working with Files,2.230769230769231,12,Fiver Watership,4,Importing CSV File Assignment,2023/12/08 14:14:21
11,Working with Files,2.230769230769231,13,Jordan Thorpe,0,,
11,Working with Files,2.230769230769231,14,Brent Baggins,0,,
11,Working with Files,2.230769230769231,15,Jeffrey Jam,0,,
